id,name,wikidata_id,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,date_premiered,year_written,year_premiered,year_printed,year_normalized,digital_source,original_source_publisher,original_source_pub_place,original_source_year,original_source_number_of_pages,average_degree,density,average_clustering,size,max_degree,num_connected_components,num_edges,diameter,average_path_length
ger000223,holz-schlaf-die-familie-selicke,Q1212316,,False,Holz,Die Familie Selicke,Drama in drei Aufzügen,1,several characters,3,3,8,5,3,0,0,801,2,1,18971,18524,5511,,,1890,1890,1890,http://www.textgridrep.org/textgrid:qggj.0,,,,,7.0,1.0,1.0,8,7,1,28,1,1.0
ger000051,holz-sozialaristokraten,Q2305239,Comedy,False,Holz,Sozialaristokraten,Komödie,0,several characters,5,5,16,12,4,0,0,877,10,1,23309,22665,5009,,,1897,1896,1896,http://www.textgridrep.org/textgrid:qhwd.0,,,,,11.0,0.7333333333333333,0.8814178876678876,16,15,1,88,2,1.2666666666666666
ger000522,horvath-geschichten-aus-dem-wiener-wald,Q11247830,,False,Horváth,Geschichten aus dem Wiener Wald,Volksstück in drei Teilen,0,marianne,15,0,26,14,12,0,0,1293,90,6,21102,19749,4416,,1930/1931,1931,1931,1931,http://hdl.handle.net/11471/541.10.5405,,,,,11.0,0.44,0.8080787489032981,26,24,1,143,3,1.593846153846154
ger000467,horvath-kasimir-und-karoline,Q1734967,,False,Horváth,Kasimir und Karoline,Volksstück,0,kasimir|karoline,117,0,17,9,7,1,1,754,73,3,11943,10255,2623,,1931/1932,1932,1932,1932,https://www.projekt-gutenberg.org/horvath/kasimir/index.html,,,,,5.529411764705882,0.34558823529411764,0.6389865036923861,17,11,2,47,4,1.8583333333333334
ger000519,houwald-die-freistatt,Q104552092,Comedy,False,Houwald,Die Freistatt,Ein tragisches Bild in einem Acte,0,conrad,7,0,4,3,1,0,0,0,581,1,4731,4602,513,,1817,1819,1819,1819,https://books.google.com/books?id=a51JAAAAMAAJ&amp;pg=PA1,,,,,2.0,0.6666666666666666,0.5833333333333334,4,3,1,4,2,1.3333333333333333
ger000627,huber-die-torte,Q120411019,Comedy,False,Huber,Die Torte,Ein Lustspiel für Kinder in einem Aufzuge,0,fritz|karl,10,0,9,6,3,0,0,73,0,0,2084,1925,225,,,,1786,1786,https://books.google.com/books?id=unMgNxNwgYEC&amp;printsec=frontcover,,Frankfurt und Leipzig,1786.0,22.0,6.666666666666667,0.8333333333333334,0.9523809523809523,9,8,1,30,2,1.1666666666666667
ger000015,iffland-das-erbtheil-des-vaters,Q51394607,,False,Iffland,Das Erbtheil des Vaters,Ein Schauspiel in vier Aufzügen,0,delomer|dominique_sohn,50,4,15,11,2,2,2,1559,0,0,24567,24009,2194,,,,1802,1802,http://www.textgridrep.org/textgrid:qkmh.0,,,,,9.6,0.6857142857142857,0.8597254597254597,15,13,1,72,3,1.3428571428571427
ger000303,iffland-der-spieler,Q51394875,,False,Iffland,Der Spieler,Ein Schauspiel in fünf Aufzügen,0,herr_von_wallenfeld,66,5,20,19,1,0,0,1506,0,0,24724,24069,2572,,,1796,1796,1796,http://www.textgridrep.org/textgrid:qkn4.0,,,,,9.1,0.4789473684210526,0.81174571343689,20,17,1,91,3,1.5315789473684212
ger000156,iffland-die-jaeger,Q51394974,,False,Iffland,Die Jäger,Ein ländliches Sittengemälde in fünf Aufzügen,0,anton,70,5,18,12,5,1,1,1562,19,0,27421,26574,2076,,,1785,1785,1785,http://www.textgridrep.org/textgrid:qkmq.0,,,,,7.888888888888889,0.46405228758169936,0.825525092191759,18,12,1,71,3,1.673202614379085
ger000434,iffland-figaro-in-deutschland,Q51395031,Comedy,False,Iffland,Figaro in Deutschland,Ein Lustspiel in fünf Aufzügen,0,baronesse|figaro|hyazinth,95,5,17,14,2,1,1,2024,0,0,31210,29625,3234,,,,1790,1790,http://www.textgridrep.org/textgrid:qkmw.0,,,,,10.705882352941176,0.6691176470588235,0.8514847897200838,17,15,1,91,2,1.3308823529411764
